time_collected,title,description,source,text,sentiment,score
2026-03-04 09:37:28.793253,U.S urges immediate exit from 14 Middle East countries amid Iran-Israel war: Check the complete list,"The U.S. Department of State has issued an emergency security update as of March 2, 2026, mandating that all Americans currently in the Middle East depart immediately via commercial means. Citing ""serious safety risks,"" the advisory covers 15 nations, includi…",The Times of India,"U.S urges immediate exit from 14 Middle East countries amid Iran-Israel war: Check the complete list The U.S. Department of State has issued an emergency security update as of March 2, 2026, mandating that all Americans currently in the Middle East depart immediately via commercial means. Citing ""serious safety risks,"" the advisory covers 15 nations, includi…",Neutral,-0.03888888888888888
2026-03-04 09:37:28.793259,"UN says Israel has suspended humanitarian movements into Gaza, closed all crossings","HAMILTON: The United Nations (UN) said Monday (March 2) that Israel has closed all crossings into the Gaza Strip and suspended humanitarian movements in and near areas where Israeli forces remain deployed, Anadolu Ajansi (AA) reported. Read full story",The Star Online,"UN says Israel has suspended humanitarian movements into Gaza, closed all crossings HAMILTON: The United Nations (UN) said Monday (March 2) that Israel has closed all crossings into the Gaza Strip and suspended humanitarian movements in and near areas where Israeli forces remain deployed, Anadolu Ajansi (AA) reported. Read full story",Neutral,0.06249999999999999
2026-03-04 09:37:28.793261,Travelling or living overseas during the Iran crisis? Here’s what you need to know,People should register with SafeTravel for the latest safety advice.,New Zealand Herald,Travelling or living overseas during the Iran crisis? Here’s what you need to know People should register with SafeTravel for the latest safety advice.,Positive,0.5
2026-03-04 09:37:28.793262,"‘You Don’t Have to Patronize Me’: Retired General Gets Testy With Fox’s Will Cain, Later Apologizes","A segment on the U.S. bombing of Iran became awkward on Monday when retired Gen. Jack Keane, a Fox News contributor, grew impatient on The Will Cain Show.
The post ‘You Don’t Have to Patronize Me’: Retired General Gets Testy With Fox’s Will Cain, Later Apolog…",Mediaite,"‘You Don’t Have to Patronize Me’: Retired General Gets Testy With Fox’s Will Cain, Later Apologizes A segment on the U.S. bombing of Iran became awkward on Monday when retired Gen. Jack Keane, a Fox News contributor, grew impatient on The Will Cain Show.
The post ‘You Don’t Have to Patronize Me’: Retired General Gets Testy With Fox’s Will Cain, Later Apolog…",Negative,-0.11666666666666665
2026-03-04 09:37:28.793263,America Prayer Vigil - 3/3/26,"Join with fellow FREEPERS to pray for AMERICA: For those in Authority in Government, Family, Military, Business, Agri-Business; End to Sex Slavery; Healthcare, Education, Churches, and the Media. This is the confidence we have in approaching God: that if we a…",Freerepublic.com,"America Prayer Vigil - 3/3/26 Join with fellow FREEPERS to pray for AMERICA: For those in Authority in Government, Family, Military, Business, Agri-Business; End to Sex Slavery; Healthcare, Education, Churches, and the Media. This is the confidence we have in approaching God: that if we a…",Neutral,-0.05
2026-03-04 09:37:28.793264,Critics Mock 'Addled Psycho' Trump For Off-Topic Ramble At Medal Of Honor Ceremony,The president used a somber occasion to brag about his ballroom... and his taste in drapes.,HuffPost,Critics Mock 'Addled Psycho' Trump For Off-Topic Ramble At Medal Of Honor Ceremony The president used a somber occasion to brag about his ballroom... and his taste in drapes.,Negative,-0.4666666666666666
2026-03-04 09:37:28.793265,Israel's ambassador to Australia seeks to discredit the United Nations,"Israel's new ambassador to Australia seeks to discredit the United Nations by claiming the country ""can't take them seriously"".",ABC News (AU),"Israel's ambassador to Australia seeks to discredit the United Nations Israel's new ambassador to Australia seeks to discredit the United Nations by claiming the country ""can't take them seriously"".",Neutral,-0.09848484848484848
2026-03-04 09:37:28.793265,"Middle East conflict delays Windies, Zimbabwe teams' return",The West Indies and Zimbabwe cricket teams have delayed their return from India after being eliminated from the Twenty20 World Cup due to international airspace closures amid the ongoing conflict in the Middle East.,Rediff.com,"Middle East conflict delays Windies, Zimbabwe teams' return The West Indies and Zimbabwe cricket teams have delayed their return from India after being eliminated from the Twenty20 World Cup due to international airspace closures amid the ongoing conflict in the Middle East.",Neutral,-0.03125
2026-03-04 09:37:28.793266,Colbert Says Congress Approving Iran War After Trump’s Attack Is Like Putting Condom on After Sex | Video,"""Just as good,"" the late night host quips
The post Colbert Says Congress Approving Iran War After Trump’s Attack Is Like Putting Condom on After Sex | Video appeared first on TheWrap.",TheWrap,"Colbert Says Congress Approving Iran War After Trump’s Attack Is Like Putting Condom on After Sex | Video ""Just as good,"" the late night host quips
The post Colbert Says Congress Approving Iran War After Trump’s Attack Is Like Putting Condom on After Sex | Video appeared first on TheWrap.",Positive,0.21666666666666665
2026-03-04 09:37:28.793267,Woman Kicks Husband’s Entitled Family Out After They Call Her Out For Not Having A Job,"It started with generosity and trust, the kind that grows quietly over years. She supported her husband and even helped his extended family through financial struggles, never expecting repayment. But after becoming a mother and stepping away from work, the sa…",Boredpanda.com,"Woman Kicks Husband’s Entitled Family Out After They Call Her Out For Not Having A Job It started with generosity and trust, the kind that grows quietly over years. She supported her husband and even helped his extended family through financial struggles, never expecting repayment. But after becoming a mother and stepping away from work, the sa…",Positive,0.2625
