time_collected,title,description,source
2026-03-04 09:37:28.793253,U.S urges immediate exit from 14 Middle East countries amid Iran-Israel war: Check the complete list,"The U.S. Department of State has issued an emergency security update as of March 2, 2026, mandating that all Americans currently in the Middle East depart immediately via commercial means. Citing ""serious safety risks,"" the advisory covers 15 nations, includi…",The Times of India
2026-03-04 09:37:28.793259,"UN says Israel has suspended humanitarian movements into Gaza, closed all crossings","HAMILTON: The United Nations (UN) said Monday (March 2) that Israel has closed all crossings into the Gaza Strip and suspended humanitarian movements in and near areas where Israeli forces remain deployed, Anadolu Ajansi (AA) reported. Read full story",The Star Online
2026-03-04 09:37:28.793261,Travelling or living overseas during the Iran crisis? Here’s what you need to know,People should register with SafeTravel for the latest safety advice.,New Zealand Herald
2026-03-04 09:37:28.793262,"‘You Don’t Have to Patronize Me’: Retired General Gets Testy With Fox’s Will Cain, Later Apologizes","A segment on the U.S. bombing of Iran became awkward on Monday when retired Gen. Jack Keane, a Fox News contributor, grew impatient on The Will Cain Show.
The post ‘You Don’t Have to Patronize Me’: Retired General Gets Testy With Fox’s Will Cain, Later Apolog…",Mediaite
2026-03-04 09:37:28.793263,America Prayer Vigil - 3/3/26,"Join with fellow FREEPERS to pray for AMERICA: For those in Authority in Government, Family, Military, Business, Agri-Business; End to Sex Slavery; Healthcare, Education, Churches, and the Media. This is the confidence we have in approaching God: that if we a…",Freerepublic.com
2026-03-04 09:37:28.793264,Critics Mock 'Addled Psycho' Trump For Off-Topic Ramble At Medal Of Honor Ceremony,The president used a somber occasion to brag about his ballroom... and his taste in drapes.,HuffPost
2026-03-04 09:37:28.793265,Israel's ambassador to Australia seeks to discredit the United Nations,"Israel's new ambassador to Australia seeks to discredit the United Nations by claiming the country ""can't take them seriously"".",ABC News (AU)
2026-03-04 09:37:28.793265,"Middle East conflict delays Windies, Zimbabwe teams' return",The West Indies and Zimbabwe cricket teams have delayed their return from India after being eliminated from the Twenty20 World Cup due to international airspace closures amid the ongoing conflict in the Middle East.,Rediff.com
2026-03-04 09:37:28.793266,Colbert Says Congress Approving Iran War After Trump’s Attack Is Like Putting Condom on After Sex | Video,"""Just as good,"" the late night host quips
The post Colbert Says Congress Approving Iran War After Trump’s Attack Is Like Putting Condom on After Sex | Video appeared first on TheWrap.",TheWrap
2026-03-04 09:37:28.793267,Woman Kicks Husband’s Entitled Family Out After They Call Her Out For Not Having A Job,"It started with generosity and trust, the kind that grows quietly over years. She supported her husband and even helped his extended family through financial struggles, never expecting repayment. But after becoming a mother and stepping away from work, the sa…",Boredpanda.com
2026-03-04 09:37:28.793268,New strikes across Middle East as Iran presses retaliatory attacks,US President Donald Trump warned that his attack on Iran could extend longer than a month.,CNA
